date,temp,prec,atoms,hump,snowf
2007/1/16 20:00,-2.9,0,1018,64,0
2007/1/16 21:00,-3.5,0,1017.7,71,0
2007/1/16 22:00,-3.2,0,1017.6,72,0
2007/1/16 23:00,-3.6,0,1017.4,73,0
2007/1/17 0:00,-3.7,0,1016.6,71,0
2007/1/17 1:00,-4,0,1016.3,74,0
2007/1/17 2:00,-3.8,0,1016.5,72,0
2007/1/17 3:00,-4.5,0,1016.3,73,0
2007/1/17 4:00,-4.3,0,1015.9,74,0
2007/1/17 5:00,-3.4,0,1015.8,77,0
2007/1/17 6:00,-4.1,0,1015.9,80,0
2007/1/17 7:00,-3.1,0,1016.3,78,0
2007/1/17 8:00,-3.2,0,1016.5,78,0
2007/1/17 9:00,-1.6,0,1016.6,67,0
2007/1/17 10:00,-0.1,0,1016.5,61,0
2007/1/17 11:00,0.1,0,1016,60,0
2007/1/17 12:00,-0.3,0,1015.5,62,0
2007/1/17 13:00,0.3,0,1015.1,60,0
2007/1/17 14:00,0.5,0,1014.9,59,0
2007/1/17 15:00,-0.1,0,1015.1,66,0
2007/1/17 16:00,0.1,0,1015.2,66,0
2007/1/17 17:00,-0.3,0,1015.5,69,0
2007/1/17 18:00,-1.2,0,1015.6,77,0
2007/1/17 19:00,-1.1,0,1015.6,81,0
2007/1/17 20:00,-1.4,0,1015.4,79,0
2007/1/17 21:00,-2.7,0,1015.4,69,0
2007/1/17 22:00,-2.8,0,1015.3,73,0
2007/1/17 23:00,-3,0,1015.1,71,0
2007/1/18 0:00,-3.4,0,1014.3,70,0
2007/1/18 1:00,-4.9,0,1013.5,71,0
2007/1/18 2:00,-4.7,0,1013,71,0
2007/1/18 3:00,-5,0,1012.5,71,0
2007/1/18 4:00,-4.9,0,1011.8,71,0
2007/1/18 5:00,-3.9,0,1011.4,68,0
2007/1/18 6:00,-3.8,0,1011.2,75,1
2007/1/18 7:00,-3.1,0,1011.2,77,0
2007/1/18 8:00,-2.7,0,1011.1,76,0
2007/1/18 9:00,-1.3,0,1010.8,74,0
2007/1/18 10:00,0.1,0,1010.5,69,0
2007/1/18 11:00,0.8,0,1009.8,67,0
2007/1/18 12:00,-0.3,0,1009.1,89,0
2007/1/18 13:00,-0.4,0.5,1008.4,91,1
2007/1/18 14:00,0.1,0,1008.1,84,0
2007/1/18 15:00,0.3,0.5,1008.2,83,1
2007/1/18 16:00,-0.2,0,1008.4,87,0
2007/1/18 17:00,-0.7,0,1008.9,84,0
2007/1/18 18:00,-1.2,0,1009.5,85,1
2007/1/18 19:00,-1.2,0,1009.9,62,0
2007/1/18 20:00,-2.3,0,1009.8,61,0
2007/1/18 21:00,-2,0,1010.2,66,0
2007/1/18 22:00,-2.6,0,1010.2,70,0
2007/1/18 23:00,-3.2,0,1010.2,67,0
2007/1/19 0:00,-2.7,0,1010.1,59,0
2007/1/19 1:00,-2.6,0,1010.6,70,0
2007/1/19 2:00,-3.6,0,1011.1,90,1
2007/1/19 3:00,-3,0.5,1011.6,83,0
2007/1/19 4:00,-3.3,1,1012.1,90,1
2007/1/19 5:00,-1.4,0,1012.9,60,1
2007/1/19 6:00,-1.9,0,1014.2,60,0
2007/1/19 7:00,-2.3,0,1015.1,63,0
2007/1/19 8:00,-1.8,0,1015.7,53,0
2007/1/19 9:00,-1,0,1016.3,42,0
2007/1/19 10:00,-1,0,1017,51,0
2007/1/19 11:00,-0.1,0,1016.3,46,0
